postcode,distance_to_leiden,statusscore14,rangorde14
2024,27.4811292927188,"1,57652333080341",290
2025,28.6289038947547,",303799662311728",1965
2026,29.7295624813939,",721330496134784",1229
2031,28.2264949283316,",704491964030764",1260
2032,25.8046833262322,",138890692840989",2221
2033,26.4876868647134,"-,904543310559389",3105
2034,24.2286917290043,"-,699000584182968",3010
2035,24.6473150195941,"-1,28409624021844",3258
2036,23.5079050407113,",650605005916174",1347
2037,23.994475153733,"-1,83006359976029",3371
2040,23.259461003194,NA,NA
2041,23.259461003194,",0164122185228289",2384
2042,22.4310836075993,",561842399489329",1510
2050,25.8320070985421,NA,NA
2051,25.1764665365714,"1,87758776947421",155
2060,28.0685340292486,NA,NA
2061,28.0685340292486,"1,47713239794603",356
2063,30.0246445370982,",967673173435838",871
2064,28.9672361895142,",79063344788578",1141
2065,27.889814361001,"1,35509354628704",445
2070,29.8925334576896,NA,NA
2071,29.8925334576896,"1,53827139917014",310
2080,29.4313524328579,NA,NA
2082,29.4313524328579,"1,66818735842649",242
2100,22.8174548320164,NA,NA
2101,22.8174548320164,",796025828653492",1133
2102,23.1591232722465,"2,12026658364002",85
2103,21.3050521000802,",47151946067761",1667
2104,19.7607782958852,",615918649511438",1411
2105,20.1965783653353,"1,18689248826842",613
2106,22.2613842617013,"2,46364325745169",31
2110,22.7200021391531,NA,NA
2111,22.7200021391531,"2,29299576702749",54
2114,18.631319518679,",24184878455567",2064
2116,22.773735436575,"1,39626766972478",414
2120,19.0282216419485,NA,NA
2121,19.0282216419485,"1,11461569195566",685
2130,21.1092358517101,NA,NA
2131,21.1092358517101,"1,04517603876177",772
2132,20.6922624082318,",628086381375912",1381
2133,20.3451373595541,"1,35035613708219",452
2134,17.6877548558066,"1,37739779181913",425
2135,17.5236513693671,"1,23165640579194",571
2136,18.1240576453265,"1,46739770044893",364
2140,23.9281870396215,NA,NA
2141,23.9281870396215,"1,78177003096593",190
2142,20.9645373019086,",972000281148693",868
2143,26.3771022233887,NA,NA
2144,15.0359995277708,"1,64157398099278",259
2150,21.2382794611795,NA,NA
2151,14.5203659448074,"1,48956466477358",343
2152,15.0223849174198,"1,72624299688738",208
2153,14.5932568631929,",218210340995401",2101
2154,15.1461561149726,"1,00559826920196",831
2155,14.0798461126223,NA,NA
2156,12.1990536868696,"1,70485919640028",222
2157,10.9429275830156,",526728789611921",1565
2158,7.76764890189619,"1,48725424497842",346
2159,8.51381382784023,"1,05500656843463",757
2160,11.9316765830759,NA,NA
2161,11.9316765830759,",319032162973447",1937
2162,10.421639458124,",726945182200801",1224
2163,12.0690683717975,"1,12216422537753",677
2165,9.52866205293915,"1,15937865542719",635
2166,21.2382794611795,NA,NA
2170,6.46203586055713,NA,NA
2171,6.46203586055713,",828452464472639",1083
2172,7.25950212887378,",40853876675142",1793
2180,16.4521874288834,NA,NA
2181,15.0883367026032,",27395484835227",2018
2182,15.5409665351649,",57195280039882",1492
2190,15.2824784282887,NA,NA
2191,15.2824784282887,",643752673468048",1355
2200,6.41570200236337,NA,NA
2201,6.41570200236337,",994696395162867",844
2202,8.04884379765957,"1,1871558645269",612
2203,8.02802051661071,",692562214072339",1275
2204,14.1180323492727,"1,2045588376886",594
2210,10.7545174083791,NA,NA
2211,10.7545174083791,",20472928679709",2122
2215,6.32832251889233,"1,41333348285946",401
2220,6.19634251402625,NA,NA
2221,6.19634251402625,",0643910661701931",2327
2222,5.21597791321292,NA,NA
2223,4.9404710033687,",531645610843662",1557
2224,5.56840669699377,",0286993401405647",2371
2225,7.00509908331957,",372337037108045",1859
2230,2.88403178816181,NA,NA
2231,2.88403178816181,",465574235512162",1677
2235,3.91176309803249,"1,26246105976781",535
2240,5.5054209763769,NA,NA
2241,5.5054209763769,",912344266704261",947
2242,5.12255191902752,"1,15924618577781",636
2243,6.50813715706205,"2,319616141176",48
2244,9.5611204819901,"2,81697977599286",11
2245,3.62392271263202,",803052961823602",1122
2250,5.58197404644054,NA,NA
2251,5.58197404644054,",985934390174845",853
2252,5.4926646931278,"1,8549406428847",165
2253,4.36905661477736,"1,51645679093845",326
2254,5.23001091080432,"1,99661489532832",119
2260,9.35632489448394,NA,NA
2261,9.35632489448394,"1,3130996553872",485
2262,10.861763579048,"-,216382539148037",2653
2263,8.95763411996339,"-1,67654169441185",3343
2264,11.0354570547456,",829469023996521",1079
2265,10.9267604765154,",687643306187311",1284
2266,11.1812677724456,",429450524476",1754
2267,14.2566549759448,"2,96721970893447",4
2270,11.5097792524066,NA,NA
2271,13.4286127307009,"1,94586744071093",135
2272,11.5097792524066,"1,38121351778759",422
2273,12.7580075524016,"-,381164153242293",2804
2274,13.4165717476236,"1,24266425194243",556
